,x1,x2,y1,y2
88112,61.88333299999999,61.88433299999999,30.966667,30.967667000000002
90044,19.7347222,19.7357222,40.5988889,40.599888899999996
90345,19.9522222,19.953222200000003,40.7058333,40.7068333
91096,20.2219444,20.222944400000003,41.4916667,41.4926667
91168,20.0088889,20.0098889,41.6102778,41.611277799999996
91548,19.9758333,19.976833300000003,41.0316667,41.0326667
91749,20.2272222,20.2282222,40.5041667,40.5051667
92530,19.4413889,19.4423889,41.3230556,41.3240556
92635,20.0822222,20.0832222,41.1125,41.113499999999995
92787,19.5561111,19.5571111,40.7238889,40.724888899999996
93033,19.7177778,19.7187778,41.4783333,41.4793333
93406,20.1388889,20.139888900000003,40.0758333,40.0768333
93886,20.1844444,20.1854444,40.8697222,40.870722199999996
95085,19.7602778,19.761277800000002,41.3816667,41.382666699999994
95321,19.5569444,19.5579444,41.1855556,41.1865556
95790,20.7808333,20.781833300000002,40.6186111,40.6196111
96121,19.792777800000003,19.793777800000004,41.5091667,41.5101667
96211,19.9166667,19.9176667,40.8002778,40.8012778
96230,20.4219444,20.422944400000002,42.0769444,42.0779444
96491,19.7130556,19.714055600000002,41.6355556,41.6365556
96846,19.6436111,19.644611100000002,41.7836111,41.7846111
96884,20.315,20.316000000000003,41.1794444,41.1804444
97300,19.705,19.706,40.9419444,40.942944399999995
99219,19.6194444,19.6204444,40.6833333,40.6843333
99333,20.3516667,20.3526667,40.233611100000005,40.2346111
99397,20.4288889,20.4298889,41.685,41.686
99756,20.6525,20.6535,40.9025,40.9035
99772,20.0980556,20.0990556,40.6122222,40.613222199999996
100838,19.8755556,19.8765556,41.7675,41.768499999999996
101118,20.0052778,20.006277800000003,39.875555600000006,39.8765556
101733,19.5672222,19.5682222,41.3455556,41.346555599999995
101840,19.5130556,19.514055600000002,42.0675,42.0685
102779,20.0191667,20.0201667,40.2958333,40.296833299999996
102871,19.8188889,19.819888900000002,41.3275,41.3285
103879,19.4897222,19.4907222,40.466666700000005,40.4676667
104640,44.6244444,44.6254444,40.2691667,40.2701667
104781,44.6519444,44.652944399999996,41.1305556,41.1315556
104923,44.5505556,44.5515556,39.9538889,39.9548889
104957,44.3591667,44.3601667,40.3016667,40.302666699999996
105330,44.8630556,44.8640556,40.7408333,40.741833299999996
105489,45.1266667,45.1276667,40.3588889,40.359888899999994
105619,46.3386111,46.3396111,39.5077778,39.5087778
105669,43.8475,43.848499999999994,40.7894444,40.7904444
105729,44.7547222,44.7557222,40.5016667,40.5026667
105736,45.1491667,45.1501667,40.875555600000006,40.8765556
105862,46.415,46.416,39.201111100000006,39.2021111
106361,45.3063889,45.3073889,40.1447222,40.145722199999994
106363,44.4858333,44.4868333,40.0138889,40.014888899999995
106879,44.9536111,44.9546111,40.555,40.556
106988,45.9730556,45.9740556,39.4627778,39.463777799999995
107015,44.2783333,44.2793333,40.79555560000001,40.796555600000005
107241,44.2925,44.293499999999995,40.1727778,40.173777799999996
107254,44.4883333,44.4893333,40.8127778,40.8137778
107277,45.7283333,45.7293333,40.180555600000005,40.1815556
107288,44.7277778,44.728777799999996,39.9105556,39.9115556
107423,44.4813889,44.4823889,40.3216667,40.3226667
107461,44.513611100000006,44.5146111,40.1811111,40.1821111
107788,-68.91666670000001,-68.9156667,12.1,12.100999999999999
108559,13.407222,13.408222,-12.578333,-12.577333000000001
